i1,i2,i3,i4,i5,i6,i7,i8,i9,i10,i11,i12,i13,i14,COMP,COMMIT,COLLAB,STANDARD
3,4,3,3,3,3,3,4,2,3,4,3,3,3,13.00,9.00,13.00,9.00
3,3,2,3,2,2,2,3,2,3,3,3,3,2,11.00,6.00,11.00,8.00
3,4,3,3,2,2,3,3,3,3,3,3,3,2,13.00,7.00,12.00,8.00
4,4,3,4,3,3,2,4,3,3,3,3,2,2,15.00,8.00,12.82,7.00
3,3,3,3,3,3,3,3,3,3,3,3,3,3,12.00,9.00,11.82,9.00
3,4,2,2,3,2,2,2,3,2,2,3,4,4,11.00,7.00,8.82,11.00
3,3,1,1,2,2,2,1,3,2,2,3,2,2,8.00,6.00,7.82,7.00
4,3,3,3,2,3,2,1,1,3,3,3,2,4,13.00,7.00,8.00,9.00
4,4,3,3,3,2,3,4,2,3,3,4,4,4,14.00,8.00,12.00,12.00
4,3,3,3,3,2,3,3,2,3,2,3,2,2,13.00,8.00,10.00,7.00
4,3,4,3,3,3,3,3,3,4,3,4,3,4,14.00,9.00,13.00,11.00
4,3,3,4,2,3,3,2,3,3,3,3,3,3,14.00,8.00,11.00,9.00
3,4,3,3,3,3,4,4,3,3,2,4,2,3,13.00,10.00,12.00,9.00
4,4,3,3,4,4,4,3,2,3,4,4,4,3,14.00,12.00,12.00,11.00
4,2,2,2,3,2,3,3,3,2,3,4,4,4,10.00,8.00,11.00,12.00
3,3,3,3,3,3,3,3,3,3,2,3,3,3,12.00,9.00,11.00,9.00
4,3,3,3,2,2,3,3,3,3,3,4,3,3,13.00,7.00,12.00,10.00
3,3,3,3,3,3,3,4,3,3,3,3,3,3,12.00,9.00,13.00,9.00
3,3,3,3,3,2,3,3,2,3,2,4,3,2,12.00,8.00,10.00,9.00
4,4,4,3,3,3,3,3,4,3,3,3,3,4,15.00,9.00,13.00,10.00
4,3,3,3,3,3,3,3,2,3,3,4,4,4,13.00,9.00,11.00,12.00
3,4,3,2,2,3,3,3,2,3,4,2,2,2,12.00,8.00,12.00,6.00
3,3,3,3,2,2,3,2,2,2,3,3,3,3,12.00,7.00,9.00,9.00
3,2,2,4,4,2,4,4,4,3,3,3,3,3,11.00,10.00,14.00,9.00
2,2,4,3,3,3,3,4,3,2,4,3,3,4,11.00,9.00,13.00,10.00
3,3,3,3,3,3,3,3,3,3,4,4,1,2,12.00,9.00,13.00,7.00
3,3,3,2,3,3,3,2,3,3,4,4,3,4,11.00,9.00,12.00,11.00
3,3,3,3,3,1,2,2,3,2,3,3,2,3,12.00,6.00,10.00,8.00
3,3,2,3,3,3,3,3,3,3,3,3,2,3,11.00,9.00,12.00,8.00
4,3,3,3,2,2,3,2,2,2,3,2,2,3,13.00,7.00,9.00,7.00
3,2,2,2,3,2,3,2,2,2,3,3,2,2,9.00,8.00,9.00,7.00
4,2,3,3,1,1,1,3,2,3,3,4,4,3,12.00,3.00,11.00,11.00
4,3,3,3,2,2,2,3,3,4,3,2,2,3,13.00,6.00,13.00,7.00
3,2,1,2,2,3,2,2,2,3,2,2,2,3,8.00,7.00,9.00,7.00
3,2,2,2,3,3,3,2,3,3,3,3,3,3,9.00,9.00,11.00,9.00
4,3,3,3,3,3,3,2,3,3,2,4,3,4,13.00,9.00,10.00,11.00
3,4,2,2,1,2,3,2,2,3,1,4,4,4,11.00,6.00,8.00,12.00
3,3,2,2,2,2,2,2,2,3,3,3,2,2,10.00,6.00,10.00,7.00
4,3,3,3,2,2,2,3,3,4,3,3,3,2,13.00,6.00,13.00,8.00
3,3,3,3,2,2,2,3,3,3,2,3,3,3,12.00,6.00,11.00,9.00
3,3,3,3,2,2,3,3,3,3,3,3,3,3,12.00,7.00,12.00,9.00
4,3,3,3,2,2,2,3,3,3,3,4,4,4,13.00,6.00,12.00,12.00
4,3,3,3,2,3,3,3,2,3,2,2,2,2,13.00,8.00,10.00,6.00
3,3,2,2,2,2,2,3,2,3,3,3,3,2,10.00,6.00,11.00,8.00
3,2,2,2,3,3,3,2,2,3,2,2,2,2,9.00,9.00,9.00,6.00
3,3,3,4,3,3,3,4,3,3,2,3,2,3,13.00,9.00,12.00,8.00
2,2,2,2,2,3,2,2,2,3,3,3,3,2,8.00,7.00,10.00,8.00
3,2,2,2,2,2,2,2,3,3,2,3,3,3,9.00,6.00,10.00,9.00
2,2,2,3,2,3,2,3,3,2,3,1,2,2,9.00,7.00,11.00,5.00
3,2,3,3,3,3,2,2,3,3,3,2,3,2,11.00,8.00,11.00,7.00
3,3,3,3,2,2,2,2,2,3,3,4,3,2,12.00,6.00,10.00,9.00
4,4,4,3,3,2,3,3,3,4,3,4,3,2,15.00,8.00,13.00,9.00
4,3,3,4,3,3,3,4,3,4,3,3,3,2,14.00,9.00,14.00,8.00
3,2,3,2,3,2,2,2,2,2,2,3,2,2,10.00,7.00,8.00,7.00
4,3,3,3,2,2,4,4,3,3,3,4,2,2,13.00,8.00,13.00,8.00
3,4,3,3,3,3,3,3,2,3,3,3,3,2,13.00,9.00,11.00,8.00
3,3,2,2,2,3,3,1,2,2,3,3,3,3,10.00,8.00,8.00,9.36
3,3,2,2,2,2,2,3,3,2,3,3,3,3,10.00,6.00,11.00,9.36
2,3,2,2,3,3,3,2,3,3,3,3,2,3,9.00,9.00,11.00,8.36
4,3,2,1,1,2,2,1,2,2,2,2,2,2,10.00,5.00,7.00,6.00
3,4,2,2,2,2,3,2,2,2,3,3,3,2,11.00,7.00,9.00,8.00
3,1,1,3,1,1,3,1,1,3,3,3,3,3,8.00,5.00,8.00,9.00
3,4,3,3,3,3,3,2,3,3,3,2,2,2,13.00,9.00,11.00,6.00
3,4,3,3,2,2,3,4,2,3,3,3,3,2,13.00,7.00,12.00,8.00
3,3,3,3,2,2,2,3,3,3,3,3,2,2,12.00,6.00,12.00,7.00
3,3,3,3,3,2,2,3,3,3,3,3,3,3,12.00,7.00,12.00,9.00
4,3,3,2,2,2,2,2,2,3,1,3,2,1,12.00,6.00,8.00,6.00
3,3,3,3,2,2,2,2,3,2,2,3,2,2,12.00,6.00,9.00,7.00
3,3,3,3,2,2,2,2,3,3,3,3,3,3,12.00,6.00,11.00,9.00
3,3,3,3,2,2,3,3,3,3,2,2,2,2,12.00,7.00,11.00,6.00
4,4,4,3,3,2,3,3,3,3,3,4,3,4,15.00,8.00,12.00,11.00
4,4,3,4,1,1,1,3,3,4,2,4,4,2,15.00,3.00,12.00,10.00
4,4,4,4,2,1,2,3,3,3,3,4,4,3,16.00,5.00,12.00,11.00
4,2,3,3,2,2,2,2,2,4,2,3,1,1,12.00,6.00,10.00,5.00
4,4,3,2,3,2,2,2,3,3,2,2,3,2,13.00,7.00,10.00,7.00
2,2,3,3,3,2,2,3,2,2,4,3,3,3,10.00,7.00,11.00,9.00
3,4,3,2,3,3,3,2,2,2,3,3,3,4,12.00,9.00,9.00,10.00
4,3,2,2,1,2,3,2,3,3,3,3,2,2,11.00,6.00,11.00,7.00
2,3,2,2,3,3,2,4,4,2,2,2,2,2,9.00,8.00,12.00,6.00
3,3,2,2,2,2,2,2,2,2,2,3,2,3,10.00,6.00,8.00,8.00
2,1,2,2,2,3,2,1,2,2,3,3,3,2,7.00,7.00,8.00,8.00
4,3,3,2,1,1,1,2,1,3,2,4,4,3,12.00,3.00,8.00,11.00
3,3,3,3,2,2,2,2,2,2,2,3,3,3,12.00,6.00,8.00,9.00
3,3,3,3,3,2,3,3,4,4,3,4,3,3,12.00,8.00,14.00,10.00
4,3,4,4,3,3,3,3,2,4,3,3,2,2,15.00,9.00,12.00,7.00
3,2,3,2,2,2,2,2,2,3,2,3,3,2,10.00,6.00,9.00,8.00
3,2,2,2,2,2,2,2,3,3,3,3,3,3,9.00,6.00,10.75,9.00
3,4,3,3,3,3,3,3,3,3,3,4,3,3,13.00,9.00,11.79,10.00
3,2,2,1,2,1,3,2,1,2,1,4,3,3,8.00,5.85,6.00,10.00
3,3,2,2,3,3,3,2,2,2,2,3,2,3,10.00,8.59,8.00,8.00
3,3,3,4,3,3,3,3,3,3,3,2,3,3,13.00,8.67,12.00,8.00
3,1,2,3,2,2,2,2,1,3,2,3,3,2,8.96,6.00,8.00,8.00
2,4,3,1,1,2,3,3,2,3,3,3,3,4,9.89,6.00,11.00,10.00
3,2,3,2,2,2,2,2,2,3,2,3,3,3,10.00,6.00,9.00,9.00
2,2,1,3,2,1,2,2,3,1,3,3,4,3,8.00,5.00,9.00,10.00
3,3,3,3,1,2,2,3,2,3,2,4,4,3,12.00,5.00,10.00,11.00
4,2,2,2,2,2,2,3,2,3,2,3,3,2,10.00,6.00,10.00,8.00
4,3,3,3,4,4,3,4,4,3,3,4,3,4,13.00,11.00,14.00,11.00
4,4,3,3,3,3,3,2,3,2,3,3,3,3,14.00,9.00,10.00,9.00
3,3,2,2,3,3,2,3,3,3,3,3,3,3,10.00,8.00,12.00,9.00
3,3,3,3,3,3,4,3,2,2,3,3,2,2,12.00,10.00,10.00,7.00
2,1,2,1,2,1,2,1,2,3,1,1,1,1,6.00,5.00,7.00,3.00
3,2,2,2,3,2,2,3,2,3,2,3,3,3,9.00,7.00,10.00,9.00
3,3,3,3,3,3,3,3,3,3,3,3,2,3,12.00,9.00,12.00,8.00
2,1,1,1,1,1,1,1,1,1,1,3,1,1,5.00,3.00,4.00,5.00
3,4,3,2,2,3,4,4,3,4,4,4,4,2,12.00,9.00,15.00,10.00
3,3,3,3,2,3,3,2,3,3,4,4,3,4,12.00,8.00,12.00,11.00
2,3,2,3,2,3,2,3,2,3,2,3,2,3,10.00,7.00,10.00,8.00
3,3,3,4,3,3,3,3,3,3,3,4,4,3,13.00,9.00,12.00,11.00
3,3,3,3,3,3,3,2,3,3,3,3,4,3,12.00,9.00,11.00,10.00
4,3,3,4,2,2,3,2,2,3,3,4,4,3,14.00,7.00,10.00,11.00
4,4,3,3,4,3,4,3,3,4,4,4,4,4,14.00,11.00,14.00,12.00
4,3,3,3,3,2,3,4,4,4,3,4,3,3,13.00,8.00,15.00,10.00
4,4,4,4,3,2,2,3,3,3,2,4,4,4,16.00,7.00,11.00,12.00
4,4,4,3,3,3,3,3,3,4,4,3,3,3,15.00,9.00,14.00,9.00
4,4,4,4,4,4,3,3,3,4,3,3,3,3,16.00,11.00,13.00,9.00
4,3,3,3,3,3,3,3,3,3,3,2,2,3,13.00,9.00,12.00,7.00
4,3,3,3,2,3,3,3,3,4,3,3,4,3,13.00,8.00,13.00,10.00
4,3,3,4,3,3,3,3,3,4,4,4,4,4,14.00,9.00,14.00,12.00
3,3,2,3,3,3,4,3,3,3,3,4,4,4,11.00,10.00,12.00,12.00
4,4,3,3,2,2,2,2,2,3,3,3,3,4,14.00,6.00,10.00,10.00
3,3,3,3,3,4,3,3,4,3,3,3,3,3,12.00,10.00,13.00,9.00
4,3,4,3,3,1,3,3,3,4,3,3,3,3,14.00,7.00,13.00,9.00
3,2,2,3,1,2,2,2,2,3,3,2,2,2,10.00,5.00,10.00,6.00
4,2,3,4,2,2,4,3,3,4,4,4,4,3,13.00,8.00,14.00,11.00
4,4,3,4,2,3,3,3,3,3,4,4,4,4,15.00,8.00,13.00,12.00
4,3,4,4,4,3,4,4,4,3,4,4,3,3,15.00,11.00,15.00,10.00
3,2,3,2,2,3,3,3,2,3,2,3,2,3,10.00,8.00,10.00,8.00
4,3,3,4,2,3,3,4,3,4,3,4,4,3,14.00,8.00,14.00,11.00
4,4,3,3,3,3,3,3,3,3,2,3,3,3,14.00,9.00,11.00,9.00
3,3,3,4,4,3,3,3,2,3,3,3,3,3,13.00,10.00,11.00,9.00
4,4,4,4,4,3,4,4,4,4,4,3,3,4,16.00,11.00,16.00,10.00
4,1,3,4,4,4,4,3,4,3,3,3,4,4,12.00,12.00,13.00,11.00
3,4,3,2,4,3,3,2,2,3,3,4,3,3,12.00,10.00,10.00,10.00
3,3,2,3,3,2,2,2,2,3,2,3,3,3,11.00,7.00,9.00,9.00
4,3,3,3,4,3,3,3,3,4,3,4,3,2,12.86,10.00,13.00,9.00
3,3,3,3,3,3,4,3,3,3,3,4,3,3,11.86,10.00,12.00,10.00
4,4,3,4,3,2,3,3,2,3,3,4,3,2,14.86,8.00,11.00,9.00
3,4,3,3,3,3,3,3,2,3,3,3,3,4,13.00,9.00,11.00,10.00
4,3,3,3,1,1,1,2,2,3,3,4,4,3,13.00,3.00,10.00,11.00
3,3,3,3,3,3,4,2,3,3,2,4,4,4,12.00,10.00,10.00,12.00
4,3,3,3,2,1,3,3,3,4,3,4,4,4,13.00,6.00,13.00,12.00
4,3,3,2,2,1,2,1,1,4,4,4,4,4,12.00,5.00,10.00,12.00
4,4,3,3,3,3,3,3,3,4,3,4,3,4,14.00,9.00,13.00,11.00
3,3,3,4,3,3,3,3,3,3,4,3,3,3,13.00,9.00,13.00,9.00
3,3,3,3,3,2,2,3,3,3,3,4,3,3,12.00,7.00,12.00,10.00
3,3,3,3,3,2,3,3,2,3,3,4,3,3,12.00,8.00,11.00,10.00
4,3,3,4,3,2,3,3,2,4,3,4,4,4,14.00,8.00,12.00,12.00
4,3,3,3,4,3,4,2,2,4,3,3,3,3,13.00,11.00,11.00,9.00
4,3,4,4,3,4,4,3,3,3,3,4,4,4,15.00,11.00,12.00,12.00
4,3,4,4,3,3,4,4,4,4,3,4,4,4,15.00,10.00,15.00,12.00
4,4,4,4,3,3,3,4,3,4,3,4,4,4,16.00,9.00,14.00,12.00
4,4,3,3,4,4,3,3,3,4,4,4,4,4,14.00,11.00,14.00,12.00
4,3,3,4,3,3,3,3,3,3,3,4,3,4,14.00,9.00,12.00,11.00
4,4,4,3,3,3,4,4,2,4,3,4,3,3,15.00,10.00,13.00,10.00
4,3,2,2,2,2,3,2,2,3,3,4,4,3,11.00,7.00,10.00,11.00
3,3,2,3,4,4,4,3,2,3,3,3,3,2,11.00,12.00,11.00,8.00
4,3,4,3,3,3,4,3,3,3,4,4,4,4,14.00,10.00,13.00,12.00
3,4,3,3,3,3,4,3,3,4,3,3,3,3,13.00,10.00,13.00,9.00
4,3,4,3,3,3,3,2,2,4,3,4,3,3,14.00,9.00,11.00,10.00
3,3,2,3,3,3,3,2,3,3,3,4,4,4,11.00,9.00,11.00,12.00
4,4,4,4,1,1,1,4,4,4,4,4,4,4,16.00,3.00,16.00,12.00
4,4,4,3,3,3,4,1,3,4,3,4,4,4,15.00,10.00,11.00,12.00
4,4,4,4,3,3,4,3,4,4,3,4,4,4,16.00,10.00,14.00,12.00
4,4,4,3,4,3,4,3,2,4,3,4,4,4,15.00,11.00,12.00,12.00
3,3,4,3,3,3,4,3,4,4,4,4,3,4,13.00,10.00,15.00,11.00
4,4,3,4,2,2,3,4,4,4,3,4,3,4,15.00,7.00,15.00,11.00
4,4,3,3,4,4,3,3,4,4,3,4,4,3,14.00,11.00,14.00,11.00
3,3,2,2,3,3,3,3,2,2,3,3,3,2,10.00,9.00,10.00,8.00
4,4,4,3,3,3,3,3,2,4,2,4,4,3,15.00,9.00,11.00,11.00
4,3,3,4,3,3,4,4,3,3,3,3,3,3,14.00,10.00,13.00,9.00
3,3,3,3,3,3,4,3,3,3,3,4,3,3,12.00,10.00,12.00,10.00
4,3,4,3,3,3,3,3,4,4,3,4,4,4,14.00,9.00,14.00,12.00
3,4,3,4,3,3,3,3,3,3,4,4,3,3,14.00,9.00,13.00,10.00
3,4,3,3,3,3,4,3,4,3,3,3,4,4,13.00,10.00,13.00,11.00
4,3,3,3,2,2,3,3,4,4,3,4,4,4,13.00,7.00,14.00,12.00
3,4,3,4,3,3,3,4,4,4,4,3,3,3,14.00,9.00,16.00,9.00
4,4,4,4,3,2,2,4,2,4,4,4,4,4,16.00,7.00,14.00,12.00
4,2,4,1,3,4,2,4,2,3,4,4,3,4,11.00,9.00,13.00,11.00
3,3,3,3,3,3,3,3,3,3,2,4,3,3,12.00,9.00,11.00,10.00
4,3,4,3,4,3,3,3,4,4,4,4,3,3,14.00,10.00,15.00,10.00
4,3,3,4,3,3,4,3,2,4,3,4,4,3,14.00,10.00,12.00,11.00
3,3,3,3,3,3,2,3,3,3,3,4,3,3,12.00,8.00,12.00,10.00
3,2,2,3,2,2,3,4,2,2,3,4,4,4,10.00,7.00,11.00,12.00
4,4,4,4,3,3,3,3,3,3,3,3,3,2,16.00,9.00,12.00,8.00
3,3,3,3,2,2,3,3,3,3,4,4,4,4,12.00,7.00,13.00,12.00
3,3,3,3,4,3,3,3,3,4,3,3,3,3,12.00,10.00,13.00,9.00
3,3,3,4,3,3,3,4,4,4,3,3,3,3,13.00,9.00,15.00,9.00
3,4,3,3,4,3,4,2,3,3,3,4,3,4,13.00,11.00,11.00,11.00
3,3,3,3,3,3,3,3,2,3,3,3,3,3,12.00,9.00,11.00,9.00
3,4,3,3,2,2,2,3,3,3,2,4,3,4,13.00,6.00,11.00,11.00
4,4,3,4,3,3,4,3,3,3,3,3,4,4,15.00,10.00,12.00,11.00
4,3,3,4,3,3,3,3,3,3,3,4,3,3,14.00,9.00,12.00,10.00
4,4,3,3,3,3,3,3,3,3,3,4,3,3,14.00,9.00,12.00,10.00
3,3,3,3,3,3,3,3,3,3,3,4,3,3,12.00,9.00,12.00,10.00
3,3,3,4,3,3,3,4,4,3,4,4,4,3,13.00,9.00,15.00,11.00
2,2,3,3,3,3,2,2,2,2,3,4,4,4,10.00,8.00,9.00,12.00
4,3,3,4,4,3,3,4,4,4,4,4,3,4,14.00,10.00,16.00,11.00
4,4,4,4,3,3,3,4,4,4,3,4,3,3,16.00,9.00,15.00,10.00
3,4,3,3,3,4,4,3,3,3,4,4,4,4,13.00,11.00,13.00,12.00
3,3,3,3,3,2,3,3,3,3,3,3,3,3,12.00,8.00,12.00,9.00
3,4,3,2,4,4,4,3,3,3,4,3,3,3,12.00,12.00,13.00,9.00
4,4,3,4,3,4,3,3,4,4,4,3,3,4,15.00,10.00,15.00,10.00
4,4,4,4,4,4,4,4,4,4,4,4,4,4,16.00,12.00,16.00,12.00
4,3,4,4,3,3,4,4,4,3,3,4,3,4,15.00,10.00,14.00,11.00
3,3,3,4,3,3,3,4,3,3,3,4,3,3,13.00,9.00,13.00,10.00
4,3,3,3,2,2,3,4,3,3,2,4,3,3,13.00,7.00,12.00,10.00
4,4,3,3,3,2,3,3,3,3,3,3,3,3,14.00,8.00,12.00,9.00
3,3,3,3,2,2,3,2,3,3,2,3,3,3,12.00,7.00,10.00,9.00
3,3,3,3,4,2,3,3,3,3,2,3,2,2,12.00,9.00,11.00,7.00
3,3,3,3,2,3,2,3,3,3,3,4,3,3,12.00,7.00,12.00,10.00
4,4,3,4,4,4,3,4,4,3,3,4,4,3,15.00,11.00,14.00,11.00
4,3,4,3,3,3,3,3,4,4,3,4,4,4,14.00,9.00,14.00,12.00
4,3,3,3,3,3,3,3,2,3,2,3,3,3,13.00,9.00,10.00,9.00
4,4,3,3,3,3,3,4,4,3,3,3,3,4,14.00,9.00,14.00,10.00
4,4,4,3,4,4,4,4,4,4,3,4,3,4,15.00,12.00,15.00,11.00
4,4,3,3,3,3,3,3,2,3,3,3,3,3,14.00,9.00,11.00,9.00
3,4,4,2,3,3,3,4,4,3,3,4,4,4,13.00,9.00,14.00,12.00
4,3,4,3,4,3,4,3,4,3,4,3,4,3,14.00,11.00,14.00,10.00
4,3,3,3,3,3,3,2,2,2,3,3,3,3,13.00,9.00,9.00,9.00
3,3,3,3,3,3,3,3,3,3,3,3,3,3,12.00,9.00,12.00,9.00
4,4,2,3,2,2,3,3,3,3,3,4,3,4,13.00,7.00,12.00,11.00
4,3,1,3,2,2,3,1,3,3,2,3,2,3,11.00,7.00,9.00,8.00
4,3,3,4,4,3,4,2,3,4,3,4,3,4,14.00,11.00,12.00,11.00
3,3,4,3,3,2,3,4,3,4,4,3,4,4,13.00,8.00,15.00,11.00
3,4,3,3,3,3,3,2,2,3,3,4,3,3,12.80,9.00,10.00,10.00
3,4,3,4,4,4,3,3,3,3,3,4,4,4,13.80,11.00,12.00,12.00
3,3,3,3,3,3,3,4,4,4,4,3,4,4,12.00,9.00,16.00,11.00
